ts_iso,symbol,action,side,price,qty,reason,pnl_usdt
2025-08-19T00:07:17+00:00,FET/USDT,ENTER,LONG,1.00000000,1.00000000,selftest,
2025-08-19T00:09:00+00:00,FET/USDT,EXIT,LONG,1.00200000,1.00000000,tp,0.00200000
2025-08-19T02:54:43+00:00,BTC/USDT,ENTER,LONG,115945.63000000,0.00043124,entry,
2025-08-19T03:06:35+00:00,BTC/USDT,EXIT,LONG,115466.01000000,0.00043124,sl,-0.20682970
2025-08-19T03:06:37+00:00,BTC/USDT,ENTER,LONG,115515.98000000,0.00043284,entry,
2025-08-19T03:23:07+00:00,BTC/USDT,ENTER,LONG,115353.99000000,0.00043345,entry,
2025-08-19T03:43:39+00:00,BTC/USDT,EXIT,LONG,114876.80000000,0.00043345,sl,-0.20683723
2025-08-19T03:43:43+00:00,BTC/USDT,ENTER,LONG,114897.80000000,0.00043517,entry,
2025-08-19T04:08:53+00:00,BTC/USDT,EXIT,LONG,114434.45000000,0.00043517,sl,-0.20163571
2025-08-19T04:09:04+00:00,BTC/USDT,ENTER,LONG,114403.99000000,0.00043705,entry,
2025-08-19T04:12:11+00:00,BTC/USDT,EXIT,LONG,114871.50000000,0.00043705,tp,0.20432417
2025-08-19T04:12:11+00:00,BTC/USDT,ENTER,LONG,114871.50000000,0.00043527,entry,
2025-08-19T04:25:19+00:00,BTC/USDT,ENTER,LONG,114858.43000000,0.00043532,entry,
2025-08-19T04:46:23+00:00,BTC/USDT,ENTER,LONG,0.00916000,5458.51528384,entry,
2025-08-19T04:46:23+00:00,BTC/USDT,EXIT,LONG,0.00920000,5458.51528384,tp,0.21834061
2025-08-19T04:46:33+00:00,BTC/USDT,ENTER,LONG,0.01198000,4173.62270451,entry,
2025-08-19T04:46:33+00:00,BTC/USDT,EXIT,LONG,0.01203000,4173.62270451,tp,0.20868114
2025-08-19T04:46:43+00:00,BTC/USDT,ENTER,LONG,0.00990000,5050.50505051,entry,
2025-08-19T04:46:43+00:00,BTC/USDT,EXIT,LONG,0.00994000,5050.50505051,tp,0.20202020
2025-08-19T04:46:49+00:00,BTC/USDT,ENTER,LONG,0.01013000,4935.83415597,entry,
2025-08-19T04:46:49+00:00,BTC/USDT,EXIT,LONG,0.01018000,4935.83415597,tp,0.24679171
2025-08-19T04:46:59+00:00,BTC/USDT,ENTER,LONG,0.01062000,4708.09792844,entry,
2025-08-19T04:46:59+00:00,BTC/USDT,EXIT,LONG,0.01067000,4708.09792844,tp,0.23540490
2025-08-19T04:47:09+00:00,BTC/USDT,ENTER,LONG,0.00835000,5988.02395210,entry,
2025-08-19T04:47:09+00:00,BTC/USDT,EXIT,LONG,0.00839000,5988.02395210,tp,0.23952096
2025-08-19T04:47:19+00:00,BTC/USDT,ENTER,LONG,0.00811000,6165.22811344,entry,
2025-08-19T04:47:19+00:00,BTC/USDT,EXIT,LONG,0.00815000,6165.22811344,tp,0.24660912
2025-08-19T04:47:28+00:00,BTC/USDT,ENTER,LONG,0.00747000,6693.44042838,entry,
2025-08-19T04:47:29+00:00,BTC/USDT,EXIT,LONG,0.00750000,6693.44042838,tp,0.20080321
2025-08-19T04:47:38+00:00,BTC/USDT,ENTER,LONG,0.00554000,9025.27075812,entry,
2025-08-19T04:47:38+00:00,BTC/USDT,EXIT,LONG,0.00557000,9025.27075812,tp,0.27075812
